gutenberg_id	title	author	sentence
345	Dracula	Bram Stoker	For she is not a grinning devil now--not any more a foul Thing for all eternity
345	Dracula	Bram Stoker	I could find no means of ingress
1342	Pride and Prejudice	Jane Austen	She approached, and saw the likeness of Mr
1342	Pride and Prejudice	Jane Austen	You both did as much as you could in planning the marriage
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	There were thirty-six ships of fair tonnage which were reported there during those months
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Both he and the Lascar stoutly swore that no one else had been in the front room during the afternoon
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Holmes scribbled a receipt upon a sheet of his note-book and handed it to him
1342	Pride and Prejudice	Jane Austen	Her mother impatiently met her at the door of her dressing-room, to ask why Lady Catherine would not come in again and rest herself
1342	Pride and Prejudice	Jane Austen	But I am willing to hope the best, and that his character has been misunderstood
345	Dracula	Bram Stoker	I feel from having seen him that he _is_ good and kind and of a noble nature
1342	Pride and Prejudice	Jane Austen	Your sweetness and disinterestedness are really angelic; I do not know what to say to you
1342	Pride and Prejudice	Jane Austen	And as to laughter, we will not expose ourselves, if you please, by attempting to laugh without a subject
345	Dracula	Bram Stoker	I am speaking from the depths of my heart--of my very soul
1342	Pride and Prejudice	Jane Austen	I will only add, God bless you
345	Dracula	Bram Stoker	May I make the only atonement in my power
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	How very impertinent
345	Dracula	Bram Stoker	if I could only help at all
345	Dracula	Bram Stoker	Madam Mina laugh, and I turn and look at her
345	Dracula	Bram Stoker	Then we shall at any rate be in Varna a day before the ship arrives, and able to make such preparations as may be necessary
1342	Pride and Prejudice	Jane Austen	Collins, and the gaieties of their intercourse with Rosings
1342	Pride and Prejudice	Jane Austen	Her Ladyship, with great condescension, arose to receive them; and as Mrs
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	He has nerve and he has knowledge
345	Dracula	Bram Stoker	One more so small child was missing, and we find it, thank God, unharmed amongst the graves
345	Dracula	Bram Stoker	And did you not hear me swear promise to her, that so she closed her eyes grateful
1342	Pride and Prejudice	Jane Austen	Wickham, we are brother and sister, you know
345	Dracula	Bram Stoker	And so, after asking where there might be close at hand a ship where he might purchase ship forms, he departed
1342	Pride and Prejudice	Jane Austen	It was very strange that he should come to Longbourn instead of to Lucas Lodge; it was also very inconvenient and exceedingly troublesome
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	I shall not say another word about this business, since you have chosen to insult me
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	My sister thinks that I am going mad
345	Dracula	Bram Stoker	At last I felt that subtle change in the air, and knew that the morning had come
1342	Pride and Prejudice	Jane Austen	Here again I shall give you pain--to what degree you only can tell
1342	Pride and Prejudice	Jane Austen	Elizabeth was not surprised at it, as Jane had written the direction remarkably ill
1342	Pride and Prejudice	Jane Austen	But I can guess how it was; everybody says that he is eat up with pride, and I dare say he had heard somehow that Mrs
1342	Pride and Prejudice	Jane Austen	To be sure, London was rather thin, but, however, the Little Theatre was open
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	How you startled me, Kate
1342	Pride and Prejudice	Jane Austen	He has always something to say to everybody
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	The prisoner lay with his face towards us, in a very deep sleep, breathing slowly and heavily
1342	Pride and Prejudice	Jane Austen	Let us hope, therefore, that her being there may teach her her own insignificance
1342	Pride and Prejudice	Jane Austen	Collins himself, has been charged with exaggeration
345	Dracula	Bram Stoker	Harker, that when a man is so loved and honoured as our host is, everything regarding him is of interest in our little community
345	Dracula	Bram Stoker	It was so in very truth, for now both mother and daughter lay in it
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	The chimney is wide, but is barred up by four large staples
1342	Pride and Prejudice	Jane Austen	I often tell my other girls they are nothing to _her_
345	Dracula	Bram Stoker	He was very genial and very appreciative of what we had done, and took off our hands all cares as to details
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	I sat down beside the fire, however, with the intention of awaiting him, however long he might be
345	Dracula	Bram Stoker	Then began my terrible task, and I dreaded it
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Was it all to go for nothing
1342	Pride and Prejudice	Jane Austen	The one was humanity, and the other was art
1342	Pride and Prejudice	Jane Austen	My uncle and aunt and I were to go together; and the others were to meet us at the church
345	Dracula	Bram Stoker	We have self-devotion in a cause, and an end to achieve which is not a selfish one
345	Dracula	Bram Stoker	It is no common enemy that we deal with
345	Dracula	Bram Stoker	with no effect; the power has grown less and less with each day, and to-night it fail me altogether
345	Dracula	Bram Stoker	One passage of it, at least, gave me a thrill of pleasure
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Are you a married man, Mr
345	Dracula	Bram Stoker	All I could do now was to be patient, and to wait the coming of the morning
345	Dracula	Bram Stoker	Moreover, we have something to prepare
1342	Pride and Prejudice	Jane Austen	Let us hope for better things
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	At least that was my first impression
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Please check the Project Gutenberg web pages for current donation methods and addresses
345	Dracula	Bram Stoker	He is an excellent _parti_, being handsome, well off, and of good birth
1342	Pride and Prejudice	Jane Austen	They were not welcomed home very cordially by their mother
345	Dracula	Bram Stoker	how could they be otherwise
1342	Pride and Prejudice	Jane Austen	I rather expected, from my knowledge of her affability, that it would happen
